,Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry
26960,, Private,98211.0, Bachelors,13.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,0.0,55.0, United-States
19079,23.0, Federal-gov,55465.0, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, Male,0.0,0.0,40.0, United-States
20525,38.0, Federal-gov,47707.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, Female,0.0,0.0,40.0,
8536,77.0, Self-emp-inc,, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,,40.0, United-States
10884,45.0, Private,189225.0, HS-grad,, Never-married, Other-service, Unmarried, Female,0.0,0.0,40.0, United-States
17442,25.0, Private,209227.0, Bachelors,13.0, Never-married, Prof-specialty, Own-child, Female,0.0,0.0,, United-States
204,37.0, State-gov,48211.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,35.0, United-States
875,37.0, Private,106043.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,40.0, United-States
19785,30.0, Private,158420.0, Bachelors,13.0,, Machine-op-inspct, Not-in-family, Male,0.0,0.0,25.0, United-States
15012,70.0, ?,336007.0, 5th-6th,3.0, Married-civ-spouse, ?,, Male,0.0,0.0,20.0, United-States
12052,27.0, ?,173178.0, Some-college,10.0, Never-married, ?, Not-in-family, Male,0.0,0.0,36.0, United-States
1212,31.0, Private,32406.0, Some-college,10.0, Divorced, Craft-repair, Unmarried,,0.0,0.0,20.0, United-States
6722,50.0, Private,144084.0, Bachelors,13.0, Divorced, Adm-clerical, Not-in-family, Female,0.0,0.0,40.0, United-States
31282,29.0, Private,, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Male,7298.0,0.0,32.0, United-States
252,24.0, Private,313956.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,40.0, United-States
11807,39.0, Private,373699.0, Masters,14.0, Divorced, Exec-managerial, Not-in-family, Male,0.0,0.0,40.0, United-States
28095,33.0, Private,73054.0,,9.0, Divorced, Sales, Unmarried, Female,0.0,0.0,40.0, United-States
12499,29.0, Private,340534.0, HS-grad,9.0, Never-married,, Not-in-family, Female,,0.0,44.0, United-States
14298,20.0, Private,175800.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, Female,0.0,0.0,25.0, United-States
20820,34.0, Local-gov,213722.0, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, Male,0.0,0.0,57.0, United-States
8651,49.0, Self-emp-not-inc,155489.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,65.0, Poland
5619,32.0, Private,94041.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband,,0.0,0.0,25.0, Ireland
23825,, ?,83439.0, 7th-8th,, Married-civ-spouse, ?, Husband, Male,0.0,0.0,40.0,
28368,73.0, Private,105886.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty,, Male,1173.0,0.0,75.0, United-States
9362,38.0, Private,38145.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,44.0, United-States
7240,30.0, Private,233433.0, HS-grad,9.0, Never-married, Sales, Own-child, Female,0.0,0.0,45.0, United-States
29683,46.0, Federal-gov,219293.0, HS-grad,, Married-civ-spouse, Adm-clerical, Husband, Male,0.0,,80.0, United-States
23594,51.0,,244572.0, HS-grad,9.0, Separated, Other-service, Not-in-family, Female,0.0,0.0,37.0, United-States
27381,,,222020.0, HS-grad,9.0, Married-civ-spouse,, Husband, Male,0.0,0.0,48.0, United-States
12969,23.0, State-gov,241951.0, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, Male,,0.0,, United-States
16174,42.0,,, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,,0.0,40.0, United-States
12694,70.0, Self-emp-inc,217801.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,15.0, United-States
25232,23.0, Private,32950.0, Some-college,10.0, Never-married, Transport-moving, Not-in-family, Male,4101.0,,40.0, United-States
1339,38.0, State-gov,34180.0,,10.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,,40.0,
11388,20.0, Private,132139.0, 10th,6.0, Never-married, Handlers-cleaners, Own-child, Male,0.0,0.0,30.0, United-States
6885,61.0, Federal-gov,294466.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, Female,0.0,0.0,40.0, United-States
5265,27.0, Federal-gov,47907.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, Female,0.0,0.0,40.0, United-States
5244,35.0, Private,166606.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,40.0, United-States
24620,36.0, Self-emp-inc,180419.0,,, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,,45.0, United-States
2676,, ?,139391.0, Some-college,10.0, Married-civ-spouse,, Husband, Male,,0.0,24.0, United-States
681,33.0, Self-emp-not-inc,182556.0, 12th,8.0, Never-married, Transport-moving, Not-in-family, Male,0.0,0.0,40.0, United-States
19046,39.0,,258276.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, Male,3137.0,0.0,40.0, ?
4934,45.0, ?,177775.0, Assoc-voc,11.0, Never-married, ?, Other-relative, Female,0.0,0.0,32.0, United-States
21679,28.0, Private,30771.0, Some-college,,, Adm-clerical, Unmarried, Female,0.0,0.0,40.0, United-States
14104,80.0, Private,, Prof-school,, Married-civ-spouse, Prof-specialty, Husband,,0.0,,, United-States
3027,42.0, Self-emp-inc,187702.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,2415.0,60.0, United-States
17631,35.0, Private,259846.0,,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,55.0, United-States
4754,50.0, Self-emp-inc,174855.0, HS-grad,9.0, Divorced,, Unmarried, Female,0.0,0.0,40.0, United-States
15204,61.0, Private,244933.0, HS-grad,9.0, Divorced, Sales, Not-in-family, Female,0.0,0.0,38.0, United-States
12258,41.0, Private,304605.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, Canada
21693,50.0, Private,171924.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,43.0, United-States
1907,, Self-emp-not-inc,219897.0, Masters,14.0, Never-married, Prof-specialty,, Female,0.0,0.0,50.0, United-States
31753,20.0, ?,71788.0, Some-college,, Never-married, ?,, Female,0.0,0.0,18.0, United-States
21877,28.0, Private,, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, Female,0.0,0.0,, United-States
13498,63.0, ?,, Prof-school,15.0, Married-civ-spouse, ?, Husband, Male,0.0,0.0,30.0, United-States
9762,27.0, Private,, Bachelors,13.0,, Exec-managerial, Not-in-family, Male,0.0,0.0,45.0, United-States
5322,59.0, State-gov,109567.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,40.0, United-States
10264,52.0, Private,177995.0, 1st-4th,2.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,56.0, Mexico
11195,55.0, Private,141807.0, Doctorate,16.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,40.0, United-States
31702,36.0, Private,67728.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,5013.0,0.0,40.0,
15668,62.0, Federal-gov,258124.0, Masters,14.0, Married-civ-spouse, Adm-clerical, Husband,,0.0,,, Italy
25379,45.0, State-gov,, Masters,14.0, Divorced, Exec-managerial, Not-in-family, Male,0.0,0.0,45.0, United-States
16947,34.0, Private,34848.0, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, Male,4064.0,0.0,, United-States
15232,75.0, Private,185603.0, 10th,6.0, Widowed, Tech-support, Not-in-family, Female,0.0,0.0,32.0, United-States
28518,38.0, Private,23892.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Wife, Female,0.0,0.0,40.0, United-States
30661,57.0, Private,199847.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,15024.0,0.0,60.0, United-States
28017,27.0, Private,284741.0, Some-college,10.0, Never-married, Sales, Not-in-family,,0.0,0.0,30.0, United-States
15388,35.0, Private,188888.0,,13.0,, Sales, Not-in-family, Male,0.0,0.0,40.0, United-States
28090,45.0, Private,, HS-grad,9.0, Widowed, Craft-repair, Unmarried, Female,0.0,0.0,40.0, United-States
7277,52.0, Private,177487.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,40.0, United-States
9376,42.0, Private,, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,,40.0,
10039,22.0, Private,184813.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, Male,,0.0,40.0, United-States
7533,26.0, Private,224361.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Male,0.0,0.0,40.0, United-States
12973,21.0, Private,379525.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, Female,4416.0,0.0,24.0, United-States
27941,, Private,, Some-college,,, Other-service, Own-child, Male,0.0,0.0,12.0, United-States
16050,53.0, Self-emp-inc,290640.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,50.0, United-States
1614,, Private,161007.0, Bachelors,13.0, Never-married, Adm-clerical, Own-child,,0.0,0.0,30.0, United-States
19984,36.0,,, 11th,7.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,0.0,0.0,40.0, United-States
31409,44.0, Private,191814.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,45.0, United-States
21672,55.0, Private,76860.0, HS-grad,9.0, Married-civ-spouse, Other-service,, Male,0.0,0.0,40.0, Philippines
23350,34.0, Private,144798.0, Some-college,10.0, Never-married, Adm-clerical,, Female,0.0,0.0,40.0, United-States
12648,20.0, Private,361138.0, HS-grad,9.0, Never-married, Sales, Unmarried, Male,0.0,0.0,45.0, United-States
5988,43.0, Private,162003.0, Some-college,10.0, Divorced, Machine-op-inspct, Not-in-family, Male,0.0,0.0,40.0, United-States
10366,32.0, Private,204567.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Male,99999.0,,60.0, United-States
10056,18.0, ?,79990.0, 11th,7.0, Never-married, ?, Own-child, Male,0.0,,, United-States
7550,39.0, Private,, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,0.0,0.0,40.0, United-States
12086,47.0, Private,138069.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
5201,76.0, Self-emp-not-inc,33213.0, Masters,14.0,, Prof-specialty, Husband, Male,0.0,0.0,30.0, ?
11230,66.0, Self-emp-inc,253741.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,1825.0,, United-States
744,24.0, Private,311311.0, Bachelors,13.0, Never-married, Sales, Not-in-family, Male,0.0,0.0,40.0, United-States
6882,35.0, Private,, HS-grad,9.0, Separated,, Unmarried, Female,0.0,0.0,32.0, United-States
14821,18.0, Self-emp-inc,184920.0, HS-grad,9.0, Never-married, Farming-fishing, Own-child, Male,0.0,0.0,25.0, United-States
2039,36.0, Private,83893.0,,10.0,, Exec-managerial, Husband, Male,,,40.0, United-States
908,54.0, Self-emp-not-inc,399705.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,55.0, United-States
7096,46.0, Private,170850.0, Bachelors,13.0, Divorced, Machine-op-inspct, Not-in-family,,0.0,1590.0,40.0,
9350,51.0, State-gov,,,11.0, Divorced,, Unmarried, Female,0.0,0.0,40.0, United-States
2085,81.0, Self-emp-not-inc,240414.0, Bachelors,13.0, Widowed, Farming-fishing, Not-in-family, Male,0.0,0.0,30.0, United-States
15609,22.0, Private,91189.0, HS-grad,9.0, Never-married, Sales, Own-child, Male,0.0,0.0,40.0, United-States
7106,36.0, ?,176458.0,,9.0, Divorced, ?, Unmarried, Female,0.0,0.0,28.0, United-States
13988,24.0, Private,138768.0, Assoc-acdm,12.0, Never-married, Handlers-cleaners, Own-child, Male,0.0,0.0,,
11574,42.0, Self-emp-not-inc,184378.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,40.0, United-States
7526,26.0, Private,376016.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Female,0.0,0.0,30.0, United-States
7929,40.0, Private,33331.0, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,0.0,50.0, United-States
11917,30.0, Private,147921.0,,11.0, Divorced, Adm-clerical, Not-in-family, Female,0.0,,46.0, United-States
204,50.0, Private,175029.0, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,40.0, United-States
6783,18.0,,, 11th,7.0, Never-married, Sales, Own-child, Male,0.0,0.0,13.0, United-States
22928,17.0,,332666.0,,6.0, Never-married, ?, Own-child,,0.0,0.0,4.0, United-States
10669,24.0, Private,200679.0, HS-grad,9.0, Never-married, Farming-fishing, Own-child, Male,0.0,0.0,50.0, United-States
447,27.0, Private,95108.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Male,0.0,0.0,40.0, United-States
5696,, Local-gov,381153.0, Some-college,10.0, Married-civ-spouse, Protective-serv, Husband, Male,15024.0,0.0,56.0, United-States
23357,24.0, Self-emp-not-inc,83374.0, Some-college,10.0, Never-married,, Not-in-family, Male,,0.0,30.0, United-States
17011,27.0, Private,174645.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child,,0.0,0.0,40.0, United-States
9043,56.0, Self-emp-not-inc,285832.0, Masters,14.0, Married-civ-spouse, Sales, Wife, Female,0.0,0.0,70.0, United-States
12623,43.0, Private,171087.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,5178.0,0.0,40.0, United-States
26271,, Private,, HS-grad,9.0,, Other-service, Unmarried,,0.0,0.0,40.0, ?
19779,34.0, Private,185408.0, Some-college,10.0, Never-married,, Not-in-family, Female,0.0,0.0,40.0, United-States
5974,21.0, Private,316184.0, HS-grad,9.0, Never-married, Other-service, Other-relative, Male,0.0,0.0,40.0, United-States
24043,90.0, Self-emp-not-inc,82628.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Male,2964.0,0.0,12.0, United-States
27879,28.0, Private,261725.0, HS-grad,9.0, Never-married, Other-service,,,0.0,0.0,40.0, Mexico
13122,27.0, Private,110622.0, 5th-6th,3.0,, Sales, Own-child, Female,0.0,0.0,20.0, Vietnam
21120,32.0, Private,27856.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, Female,0.0,0.0,40.0, United-States
2981,22.0, Private,201729.0, 9th,5.0, Never-married, Handlers-cleaners, Other-relative, Male,0.0,0.0,30.0, United-States
121,40.0, Private,118853.0, Bachelors,13.0, Married-civ-spouse,, Husband, Male,,0.0,60.0, United-States
6317,40.0,,146653.0, Bachelors,, Divorced, Adm-clerical, Unmarried, Female,0.0,,20.0, United-States
14425,19.0, Private,410632.0, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, Male,0.0,0.0,40.0, United-States
10095,66.0, Private,366425.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,40.0, United-States
545,32.0, Private,84179.0, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, Female,0.0,0.0,45.0, United-States
26559,28.0, Self-emp-not-inc,,,9.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,70.0,
27059,59.0, Private,279232.0,,6.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,0.0,40.0, Puerto-Rico
24526,50.0, Private,174655.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,45.0, United-States
23121,23.0, Private,105617.0, 9th,5.0, Never-married, Transport-moving, Own-child, Male,0.0,0.0,40.0, United-States
12117,23.0, Private,271354.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,1902.0,50.0, United-States
7179,53.0, Private,277772.0, HS-grad,9.0, Divorced, Handlers-cleaners, Unmarried, Female,0.0,0.0,40.0, United-States
4035,, Self-emp-not-inc,320194.0, Prof-school,15.0, Separated, Prof-specialty, Unmarried, Male,0.0,,48.0, United-States
16042,24.0, Federal-gov,130534.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, Male,0.0,0.0,40.0, United-States
19599,55.0, Self-emp-not-inc,193374.0,,9.0, Divorced, Craft-repair, Not-in-family, Male,0.0,0.0,40.0, United-States
25653,45.0, Private,187969.0, Assoc-voc,11.0, Never-married, Sales, Not-in-family, Female,0.0,0.0,38.0, United-States
2648,32.0, Private,, Some-college,10.0,, Adm-clerical, Not-in-family, Female,4101.0,0.0,50.0, United-States
14113,31.0, Local-gov,226525.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,51.0, United-States
3423,43.0, Private,218558.0, Bachelors,13.0, Married-spouse-absent, Prof-specialty, Not-in-family, Male,,0.0,40.0, United-States
8210,35.0, Private,433682.0, Bachelors,13.0, Never-married, Tech-support, Not-in-family, Male,0.0,0.0,40.0, United-States
2536,24.0, Private,213427.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,0.0,40.0, United-States
28479,25.0, Private,169759.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Male,0.0,0.0,95.0, United-States
7896,, Local-gov,181902.0, Masters,14.0, Married-civ-spouse,, Husband,,0.0,0.0,, Poland
8761,47.0, State-gov,187581.0, Assoc-voc,11.0, Married-civ-spouse, Tech-support, Husband, Male,0.0,0.0,48.0, United-States
25689,40.0,,303291.0, Some-college,10.0, Married-civ-spouse,,, Female,0.0,0.0,35.0,
22397,49.0, Private,168262.0, 10th,6.0, Divorced, Other-service, Not-in-family, Male,,0.0,48.0, United-States
13716,53.0, Private,58535.0, HS-grad,9.0, Divorced, Sales, Not-in-family, Female,0.0,0.0,40.0, United-States
27587,55.0, Self-emp-not-inc,26683.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,60.0, United-States
23383,30.0,,94413.0, Some-college,10.0, Divorced, Transport-moving,, Male,0.0,0.0,30.0,
21164,43.0, Local-gov,114859.0, Some-college,10.0,, Transport-moving, Husband, Male,0.0,0.0,17.0, United-States
14348,29.0, ?,19793.0, Some-college,10.0, Divorced, ?, Unmarried,,0.0,0.0,8.0, United-States
8666,29.0, Self-emp-not-inc,169544.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband,,5178.0,0.0,40.0, United-States
4153,34.0, State-gov,334422.0, Some-college,10.0, Divorced, Protective-serv, Unmarried, Male,0.0,0.0,47.0, United-States
27805,34.0, Private,221167.0, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Wife, Female,0.0,,40.0,
20168,60.0, Self-emp-not-inc,135285.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,, United-States
15661,52.0, Private,191529.0, Bachelors,13.0,, Farming-fishing, Not-in-family, Male,0.0,0.0,40.0, United-States
6734,36.0, Private,126675.0, 11th,7.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,1579.0,40.0, United-States
9824,63.0, Private,28334.0, Masters,14.0, Divorced, Exec-managerial, Not-in-family, Female,0.0,0.0,40.0, United-States
12310,22.0, Private,166371.0, Some-college,10.0, Never-married, Craft-repair, Own-child, Male,0.0,0.0,40.0, United-States
18946,29.0, Private,150717.0, Assoc-voc,, Never-married, Exec-managerial, Not-in-family, Male,,0.0,40.0, United-States
12740,29.0, State-gov,133846.0, Some-college,10.0, Never-married, Other-service, Own-child, Female,0.0,0.0,40.0, United-States
9368,21.0, Private,227986.0, HS-grad,9.0,, Machine-op-inspct, Unmarried, Female,0.0,0.0,40.0, United-States
1226,36.0, Private,354078.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty,, Male,0.0,0.0,60.0,
19068,56.0, Private,314149.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,50.0, United-States
13714,71.0, Self-emp-not-inc,157845.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,20.0, United-States
12136,46.0, Private,67001.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,40.0, United-States
25320,32.0, Private,419691.0, 12th,8.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,40.0, United-States
13209,78.0, Self-emp-inc,188044.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,,2392.0,40.0, United-States
2399,34.0, Private,509364.0, HS-grad,9.0,, Machine-op-inspct, Not-in-family, Male,0.0,0.0,30.0, United-States
24239,35.0, Private,168322.0, 11th,7.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,40.0, United-States
14075,18.0, Private,165532.0, 12th,8.0, Never-married, Other-service, Own-child, Male,0.0,0.0,, United-States
14300,42.0, Private,234508.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,40.0, United-States
7703,,,, Some-college,10.0, Never-married, Adm-clerical, Own-child, Female,0.0,,12.0,
2756,43.0, Local-gov,147328.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,1977.0,60.0, United-States
11872,34.0, Private,, HS-grad,9.0, Separated, Adm-clerical, Unmarried, Female,7443.0,0.0,35.0, United-States
31113,, Private,247819.0, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Wife, Female,0.0,0.0,5.0, United-States
3819,48.0, Private,138342.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,1485.0,55.0, United-States
31318,, Private,138504.0, Some-college,10.0, Never-married, Adm-clerical, Unmarried, Female,0.0,0.0,, United-States
30717,25.0, Private,397317.0, Assoc-acdm,12.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,0.0,40.0, United-States
22911,30.0, Self-emp-inc,84119.0, Bachelors,13.0, Never-married,, Own-child, Male,0.0,0.0,, United-States
10682,18.0, Private,178759.0, Some-college,10.0, Never-married, Sales, Own-child, Female,0.0,0.0,15.0, United-States
18706,73.0, Self-emp-not-inc,336007.0,,9.0, Married-civ-spouse, Sales, Husband, Male,,0.0,40.0, United-States
17567,38.0,,312271.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,50.0, United-States
23084,48.0, Private,101684.0, HS-grad,9.0, Married-civ-spouse,, Husband, Male,0.0,0.0,40.0, United-States
30291,19.0, Private,355477.0, HS-grad,9.0, Never-married, Other-service, Own-child, Male,0.0,0.0,25.0, United-States
29710,67.0, ?,201657.0, Bachelors,13.0, Divorced, ?,, Female,0.0,0.0,60.0,
18447,25.0, Private,122175.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Male,0.0,0.0,40.0, United-States
32196,41.0, Self-emp-inc,64506.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,50.0, United-States
28623,33.0, Private,157446.0, 11th,7.0, Never-married, Craft-repair, Not-in-family, Male,0.0,0.0,65.0, United-States
13621,33.0, Private,104525.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, Male,,0.0,40.0, United-States
1417,31.0, Private,179186.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,90.0, United-States
14458,17.0, ?,35603.0, 11th,7.0, Never-married, ?, Own-child, Female,0.0,0.0,16.0, United-States
1587,28.0, Self-emp-not-inc,125442.0, HS-grad,9.0, Divorced, Craft-repair, Own-child, Male,0.0,0.0,40.0, United-States
10408,22.0, ?,52596.0, Some-college,10.0, Never-married, ?, Own-child, Male,0.0,0.0,15.0, ?
3293,47.0, Private,203505.0, Doctorate,16.0, Never-married, Prof-specialty, Own-child, Female,0.0,0.0,23.0, United-States
10035,40.0, Private,202692.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,35.0, United-States
11321,48.0, Private,206357.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,44.0, United-States
26529,24.0, Private,, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child,,0.0,0.0,40.0,
21673,, Private,70076.0, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, Female,0.0,0.0,40.0, United-States
4335,47.0, Private,296066.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, Male,,0.0,40.0, United-States
31088,23.0, Private,133582.0, 1st-4th,2.0, Never-married, Farming-fishing, Not-in-family, Male,0.0,,36.0, Mexico
8448,49.0,,196571.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Male,0.0,,45.0,
10572,23.0, Private,219535.0, HS-grad,9.0, Never-married,, Own-child, Male,0.0,0.0,40.0, United-States
5973,32.0, Private,165226.0, HS-grad,9.0, Divorced, Other-service, Not-in-family, Female,0.0,0.0,40.0, United-States
15440,59.0, Private,243226.0, 10th,6.0, Divorced, Machine-op-inspct, Not-in-family, Female,0.0,0.0,40.0, United-States
21873,35.0,,287658.0, Some-college,10.0, Never-married, Adm-clerical, Unmarried, Male,0.0,0.0,40.0, United-States
29143,43.0, Private,190403.0, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,40.0, United-States
19332,26.0, Private,381618.0, 9th,5.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,45.0, United-States
2888,34.0, Local-gov,255098.0, Bachelors,, Divorced, Prof-specialty,,,0.0,0.0,, United-States
8142,45.0, Federal-gov,87207.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,0.0,0.0,37.0, United-States
3520,30.0, Private,221043.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,35.0, United-States
696,35.0, Private,203628.0, Masters,14.0,, Prof-specialty, Not-in-family, Male,0.0,0.0,60.0, United-States
9194,39.0, State-gov,99156.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,50.0, United-States
21708,42.0, Private,197522.0,,10.0, Separated, Machine-op-inspct, Unmarried, Female,0.0,0.0,40.0, United-States
6663,34.0, Private,163581.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Male,10520.0,0.0,40.0, Puerto-Rico
1568,43.0, Local-gov,160574.0, Bachelors,13.0,, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
12980,43.0, Private,269015.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,,0.0,40.0, Germany
13802,24.0, Private,227610.0, 10th,6.0,, Handlers-cleaners, Unmarried,,0.0,,58.0,
7460,54.0,,31533.0, Masters,14.0, Married-civ-spouse, Adm-clerical, Husband, Male,7298.0,0.0,40.0, United-States
2748,24.0, Private,99697.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Female,0.0,0.0,40.0, United-States
9405,45.0, Local-gov,175958.0, 9th,5.0, Never-married, Other-service, Own-child, Male,0.0,0.0,,
13409,52.0, Self-emp-inc,230919.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,60.0, United-States
21409,31.0, Private,, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
19299,39.0,,, Masters,14.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,0.0,40.0, ?
14462,, Private,142081.0, HS-grad,9.0, Married-civ-spouse,, Wife, Female,0.0,0.0,40.0, Mexico
13776,64.0, Local-gov,182866.0, HS-grad,, Widowed, Other-service, Unmarried, Female,0.0,0.0,40.0, United-States
32512,, Private,, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, Male,0.0,0.0,40.0,
